municipality_id,prefecture_raw_id,municipality_raw_id,municipality_name
1,15,101,新潟市北区
2,15,102,新潟市東区
3,15,103,新潟市中央区
4,15,104,新潟市江南区
5,15,105,新潟市秋葉区
6,15,106,新潟市南区
7,15,107,新潟市西区
8,15,108,新潟市西蒲区
9,15,202,長岡市
10,15,204,三条市
11,15,205,柏崎市
12,15,206,新発田市
13,15,208,小千谷市
14,15,209,加茂市
15,15,210,十日町市
16,15,211,見附市
17,15,212,村上市
18,15,213,燕市
19,15,216,糸魚川市
20,15,217,妙高市
21,15,218,五泉市
22,15,222,上越市
23,15,223,阿賀野市
24,15,224,佐渡市
25,15,225,魚沼市
26,15,226,南魚沼市
27,15,227,胎内市
28,15,307,北蒲原郡聖籠町
29,15,342,西蒲原郡弥彦村
30,15,361,南蒲原郡田上町
31,15,385,東蒲原郡阿賀町
32,15,405,三島郡出雲崎町
33,15,461,南魚沼郡湯沢町
34,15,482,中魚沼郡津南町
35,15,504,刈羽郡刈羽村
36,15,581,岩船郡関川村
37,15,586,岩船郡粟島浦村
