ナンバー,施設名,所在地,緯度,経度
1,本間医院,村上市安良町4-13,38.223648,139.475800
2,安斎医院,村上市岩船上町1-16,38.192665,139.437790
3,富樫眼科医院,村上市飯野1-1-20,38.221596,139.476959
4,おたべ医院,村上市石原4-7,38.226410,139.493561
5,医療法人社団  しぶや小児科医院,村上市新町6-83,38.225117,139.485672
6,羽鳥医院,村上市松原町1-10-16,38.227188,139.459869
7,羽鳥医院瀬波診療所,村上市瀬波上町4-16,38.231647,139.456970
8,佐々木整形外科,村上市南町2-4-48,38.216530,139.471024
9,医療法人たかはし整形外科クリニック,村上市新町9-82,38.223671,139.490067
10,いが医院,村上市南町2-8-30,38.216793,139.473618
11,瀬賀医院,村上市吉浦3060-8,38.307816,139.452713
12,さくら内科クリニック,村上市仲間町233-1,38.221916,139.492172
13,たなか皮ふ科クリニック,村上市新町9-90,38.223988,139.489120
14,学校法人北都健勝学園新潟リハビリテーションクリニック,村上市上の山2-16,38.185974,139.439468
15,おばた耳鼻科,村上市新町6-53,38.224064,139.488892
16,村上市休日急患診療所,村上市若葉町10-7,38.227116,139.469238
17,障害者支援施設浦田の里診療所,村上市岩船浦田山231-1,38.205414,139.445282
18,特別養護老人ホームいわくすの里診療所,村上市上の山2-17,38.186043,139.439484
19,村上市巡回診療所,村上市三之町1-1,38.223087,139.480118
20,村上保健所,村上市肴町10-15,38.224964,139.469315
21,佐野医院,村上市坂町3262-7,38.113735,139.444885
22,荒川中央クリニック,村上市藤沢字前坪7-19,38.120312,139.453476
23,特別養護老人ホーム たかつぼ診療所,村上市下鍜冶屋572-7,38.113205,139.448380
24,特別養護老人ホーム村上まごころの里医務室,村上市大津3689-2,38.128628,139.442001
25,鈴木医院,村上市有明848,38.181953,139.478745
26,澤田医院,村上市北新保678,38.159782,139.430145
27,村上市養護老人ホームやまゆり荘診療所,村上市山屋749-1,38.205681,139.486252
28,障害者支援施設 やまやの里診療所,村上市山屋746-2,38.209370,139.487701
29,特別養護老人ホームさつき園診療所,村上市北新保683-9,38.174381,139.438141
30,佐藤医院,村上市猿沢2221,38.282295,139.520935
31,つなしま内科クリニック,村上市大場沢3770-2,38.244282,139.527115
32,特別養護老人ホーム羽衣園診療所,村上市岩沢1616,38.261475,139.534531
33,特別養護老人ホームあさひ診療所,村上市猿沢2160,38.282295,139.520935
34,初野医院,村上市府屋279-5,38.514324,139.533585
35,青木医院,関川村府屋604,38.089443,139.565018
36,特別養護老人ホームゆり花園診療所,関川村勝木862-10,38.089813,139.545410
37,佐藤内科小児科医院,関川村大字下関915,38.083347,139.555481
38,関川村国民健康保険 関川診療所,粟島浦村大字下関515-1,38.468304,139.254410
39,特別養護老人ホーム垂水の里診療所,関川村大字湯沢728-1,38.094425,139.604797
40,粟島へき地出張診療所,村上市大字日の見山1513-11,38.225243,139.515274
41,関川村巡回診療所,村上市大字下関515-1,38.232468,139.526718
42,特別養護老人ホーム神林の里診療所,村上市九日市69番地1,38.179932,139.462967
43,むらかみ松岡眼科,村上市新町9-74,38.223392,139.490891
44,上田眼科,村上市下鍜冶屋603-1,38.112038,139.452881
45,村上おかだクリニック,村上市大町3番25号2,38.224030,139.478470
46,肴町医科歯科医院,新発田市田端町16-7,37.903095,139.451508
47,きむら内科クリニック,新発田市飯野3丁目16—5,37.933250,139.280212
48,東谷医院,新発田市中央町4丁目11番22号,37.951775,139.328186
49,阿部医院,新発田市五十公野6804-1,37.930077,139.347046
50,安斎クリニック,新発田市東新町1丁目4-5,37.948574,139.341888
51,いしい眼科,新発田市諏訪町1-9-29,37.943943,139.333298
52,今井眼科医院,新発田市本町3-2-1,37.950390,139.333084
53,医療法人信眼会信田眼科医院,新発田市舟入町1-2-36,37.955120,139.308014
54,いけだ耳鼻科駅前医院,新発田市諏訪町1-3-5,37.945148,139.332993
55,大杉脳外科医院,新発田市新栄町1-2-21,37.953808,139.303223
56,大峰寮診療所,新発田市大字下坂町266,38.026451,139.385086
57,一般財団法人下越総合健康開発センター,新発田市本町4-16-83,37.947662,139.338104
58,片桐記念クリニック,新発田市住吉町4-3-9,37.946091,139.312347
59,木島整形外科,新発田市豊町4丁目1-4,37.939987,139.339844
60,けんちゃんクリニック,新発田市新富町2目6番18号,37.957058,139.340454
61,小島医院,新発田市本田3470-5,37.890747,139.269119
62,斉藤医院,新発田市豊町2-2-23,37.941422,139.336060
63,笹川医院,新発田市下小中山392,38.018883,139.380829
64,佐々木医院,新発田市中央町5-3-18,37.950790,139.331711
65,新発田ひらた内科クリニック,新発田市富塚町2丁目1番28号,37.951065,139.302811
66,新発田市保健センタ―,新発田市本町4-16-83,37.947662,139.338104
67,しばた心と体クリニック,新発田市住吉町4丁目8番26号,37.944336,139.314041
68,新発田地区救急診療所,新発田市本町1丁目16番14号,37.946014,139.336395
69,新発田皮フ科,新発田市新栄町2-11-56,37.954594,139.298660
70,せき内科・消化器科医院,新発田市本町3-5-15,37.951866,139.336945
71,社会福祉法人のぞみの家福祉会障害者支援施設緑風園医務室,新発田市五十公野4685番地42,37.933365,139.352448
72,小児科桑島医院,新発田市大手町3-5-19,37.952938,139.320908
73,城北クリニック,新発田市中曽根町1丁目3番25号,37.959885,139.318512
74,須貝医院,新発田市藤塚浜1884,38.028835,139.307617
75,すずき医院,新発田市御幸町2-12-1,37.948036,139.316025
76,すどう小児クリニック,新発田市豊町2-9-1,37.942883,139.335968
77,関耳鼻科クリニック,新発田市住吉町4丁目20番2号,37.941589,139.311142
78,関塚医院,新発田市中田町2丁目17番15号,37.967873,139.328247
79,高橋クリニック,新発田市新富町1-1-27,37.951859,139.338226
80,たかはし脳外科皮フ科医院,新発田市住吉町2-3-17,37.948418,139.313202
81,田中医院,新発田市諏訪町3-4-6,37.942390,139.329330
82,富樫医院,新発田市中央町3-2-11,37.946934,139.326233
83,特別養護老人ホームコンフィ陽だまり苑診療所,新発田市諏訪町1-10-38,37.942837,139.333755
84,特別養護老人ホーム三の丸医務室,新発田市大手町4丁目3番4号,37.951492,139.325241
85,特別養護老人ホームしうんじ,新発田市大字真野原外3331-2,38.018002,139.318329
86,特別養護老人ホームしばた,新発田市大字下中山246-1,37.992691,139.444641
87,特別養護老人ホーム「豊浦愛宕の園」医務室,新発田市荒町甲1611番地13,37.936356,139.321854
88,特別養護老人ホームぢりめき医務室,新発田市佐々木字地利目木2610,37.948875,139.255157
89,特別養護老人ホームつきおかの里医務室,新発田市大字本田壬393-1,37.883087,139.284851
90,特別養護老人ホ―ム 二の丸,新発田市上館520番地1,37.970776,139.377319
91,特別養護老人ホーム新発田まごころの里医務室,新発田市下小中山1107番地,38.018883,139.380829
92,特別養護老人ホームくるま乃,新発田市大友17番地1,37.920658,139.381424
93,特別養護老人ホームヒルトップくしがた,新発田市菅谷3345番地1,37.984943,139.412430
94,TOPPANｸﾞﾙｰﾌﾟ健康保険組合新潟診療所,新発田市大字五十公野字山崎5270,37.932732,139.348312
95,富田産科婦人科クリニック,新発田市諏訪町1-2-15,37.944706,139.332809
96,富田耳鼻科クリニック,新発田市舟入町3丁目11番18号7,37.957821,139.300735
97,中井さくら園診療所,新発田市小舟町2丁目9番13号,37.969875,139.323334
98,中川内科医院,新発田市大手町2-1-8,37.951393,139.322418
99,なかだい整形外科医院,新発田市新栄町2-11-61,37.954388,139.299683
100,新潟県新発田保健所,新発田市豊町3-3-2,37.938526,139.340851
101,二王子温泉クリニック,新発田市虎丸452,37.926567,139.445541
102,西新発田クリニック,新発田市佐々木175番地,37.953068,139.264420
103,西新発田整形外科クリニック,新発田市住吉町4丁目16番16号,37.942757,139.311295
104,花野内科医院,新発田市稲荷岡2252,38.018147,139.322800
105,パルcomfy陽だまり苑診療所,新発田市中央町5丁目924番地1,37.953136,139.331177
106,馬場医院,新発田市中央町3-12-12,37.949001,139.326233
107,原消化器内科医院,新発田市豊町4-5-1,37.940388,139.340271
108,陽だまり苑診療所,新発田市大字岡田1746番地1,37.951862,139.359055
109,皮ふと子どもツインスマイルクリニック,新発田市諏訪町1丁目2番11号 ｲｸﾈｽしばたMINTO館2F,37.944584,139.333893
110,平塚ファミリークリニック,新発田市真野原1719-4,37.991730,139.302155
111,松沢医院,新発田市本町2-8-13,37.951046,139.331833
112,三浦内科医院,新発田市新栄町1丁目6番17号,37.953579,139.299881
113,三日市内科クリニック,新発田市大字三日市605番地1,37.964245,139.362595
114,緑町内科・消化器科やまだクリニック,新発田市緑町2丁目16番地9号,37.960632,139.332748
115,みゆき町内科クリニック,新発田市御幸町4-6-2,37.942505,139.316284
116,山崎皮膚科医院,新発田市大手町1丁目13-8,37.951008,139.324753
117,養護老人ホ―ムあやめ寮,新発田市豊町3-10-3,37.935898,139.338959
118,陸上自衛隊新発田駐屯地医務室,新発田市大手町6-4-16,37.955433,139.322327
119,若桑クリニック,阿賀野市富塚町1-15-9,37.834469,139.225952
120,渡部整形外科,阿賀野市緑町3丁目3番2号,37.832108,139.218765
121,阿賀野市水原保健センター診療所,阿賀野市岡山町10-15,37.834339,139.226776
122,あがの八雲診療所,阿賀野市保田5685-1,37.769493,139.225571
123,うえき内科クリニック,阿賀野市岡山町4-6,37.835011,139.223389
124,うちだ内科医院,阿賀野市市野山192-3,37.822063,139.224503
125,恩田整形外科医院,阿賀野市金田町95-1,37.829475,139.229660
126,京ヶ瀬診療所,阿賀野市曽郷1011番地1,37.843796,139.186783
127,佐藤眼科医院,阿賀野市中央町2-12-28,37.838966,139.222977
128,身体障害者療護施設宝珠苑,阿賀野市保田字中山5683-23,37.769493,139.225571
129,田中皮膚科医院,阿賀野市市野山191-3,37.822063,139.224503
130,特別養護老人ホームかがやき苑診療所,阿賀野市寺社甲3848-212,37.786777,139.231461
131,特別養護老人ホームコスモスの里診療所,阿賀野市飯森杉437-2,37.837891,139.188492
132,特別養護老人ホームシンパシー,阿賀野市南安野町8番20号,37.836098,139.211838
133,特別養護老人ホーム白鳥荘診療所,阿賀野市百津88番地,37.827366,139.212845
134,特別養護老人ホームはぐろの里診療所,阿賀野市畑江字原333-7,37.823559,139.303909
135,特別養護老人ホームやすだの里,阿賀野市保田字中山5683-23,37.769493,139.225571
136,ながい眼科クリニック,阿賀野市市野山191-1,37.822063,139.224503
137,永田医院,阿賀野市山崎340,37.839710,139.268524
138,本田脳神経外科クリニック,阿賀野市下条町13番12号,37.835461,139.219360
139,安田診療所,阿賀野市保田1756-1,37.773476,139.234467
140,やまざき小児科,胎内市岡山町7番12号,38.059719,139.410294
141,わだ耳鼻咽喉科クリニック,胎内市下条町13-11,38.072781,139.461929
142,小野耳鼻科医院,胎内市大川町15番10号,38.051773,139.407120
143,㈱クラレ新潟事業所医務室,胎内市倉敷町2-28,38.066029,139.405426
144,坂上医院,胎内市本町3-29,38.051872,139.403351
145,鈴木医院,胎内市大字平木田1506,38.091843,139.430664
146,相馬医院,胎内市築地1855,38.061394,139.360123
147,胎内市巡回診療所,胎内市新和町2番10号,38.059074,139.410278
148,胎内やすらぎの家診療所,胎内市熱田坂字長崎野881番地86,38.027847,139.479675
149,丹呉医院,胎内市あかね町26番25号,38.055901,139.394577
150,地域密着型特別養護老人ホームりんどう診療所,胎内市下館1523番地,38.072781,139.461929
151,ちの泌尿器科・内科医院,胎内市東本町22-10-3,38.058048,139.413010
152,時田医院,胎内市大字乙1177,38.117428,139.403732
153,特別養護老人ホーム胎内まごころの里医務室,胎内市築地3715番地3,38.050083,139.342621
154,特別養護老人ホーム胎内まごころの里きのと医務室,胎内市大出730番地1,38.102158,139.393188
155,特別養護老人ホームとっさか,胎内市西本町286-3,38.052341,139.396591
156,中条駅前じゅん耳鼻科,胎内市表町6-17-8,38.049789,139.398575
157,中条地区休日診療所,胎内市西本町11番11号,38.052368,139.395615
158,野々村眼科医院,胎内市西栄町5-24,38.052288,139.399765
159,橋本医院,胎内市東本町21-56,38.057140,139.412720
160,はなの医院,胎内市築地1851,38.050083,139.342621
161,ひまわり荘診療所,胎内市塩沢279番地,38.082115,139.445969
162,ひらの整形外科医院,胎内市大川町15-11,38.051739,139.407227
163,養護老人ホームひめさゆり診療所,聖籠町下館820番地2,37.974442,139.274460
164,わたなべ医院,聖籠町新栄町2-37,37.974442,139.274460
165,アルビレックス新潟診療所,聖籠町東港5-914-2,37.987370,139.248413
166,佐久間医院,聖籠町諏訪山1605-2,37.974323,139.275314
167,聖籠町国民健康保険診療所,聖籠町大字諏訪山825,37.972088,139.282837
168,聖籠町保健福祉センター,聖籠町大字諏訪山825,37.972088,139.282837
