No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,開設者,管理者,歯科,矯正,小歯,口腔,備考,緯度,経度
1,佐久間歯科医院,958-0051,村上市,岩船上町4-30,0254-56-7700,平成9年9月1日,医療法人社団　一真会,佐久間　秀治,1,0,1,0,,38.190235,139.437775
2,高原歯科医院,958-0876,村上市,塩町1-15,0254-52-2309,平成30年4月24日,高原　繁,高原　繁,1,0,0,0,,38.226555,139.477432
3,緑町歯科クリニック,958-0033,村上市,緑町4-2-73,0254-53-6677,平成4年4月1日,医療法人社団　佐久間歯科医院,佐久間　利則,1,1,1,1,,38.21907,139.457352
4,中野歯科医院,958-0857,村上市,飯野3-10-11,0254-53-7500,平成7年5月1日,医療法人社団　中野医院,中野　久士,1,1,1,0,,38.220379,139.469803
5,いいの歯科医院,958-0857,村上市,飯野2-5-6,0254-52-5756,平成18年5月1日,佐藤　雅人,佐藤　雅人,1,0,1,1,,38.22147,139.47435
6,新町歯科医院,958-0834,村上市,新町2-46,0254-52-1182,平成8年10月1日,佐藤　鶴英,佐藤　鶴英,1,1,1,0,,38.225632,139.484314
7,丹田矯正歯科,958-0854,村上市,田端町10-8 清水屋ﾋﾞﾙ2階,0254-50-1515,平成9年7月16日,医療法人社団　丹田会,丹田　薫,1,1,1,0,,38.220745,139.4655
8,ふじかわ歯科,958-0823,村上市,仲間町518-70,0254-52-7740,平成9年10月1日,藤川　圭次郎,藤川　圭次郎,1,0,0,0,,38.216835,139.485565
9,さとう歯科クリニック,958-0854,村上市,田端町8-10,0254-53-8330,平成14年12月4日,医療法人社団　幸仁会,佐藤　聡,1,0,0,0,,38.219292,139.465057
10,いわふね歯科クリニック,958-0051,村上市,岩船上町1-16,0254-56-7744,平成16年10月1日,百瀬　学,百瀬　学,1,0,1,1,,38.192665,139.43779
11,まきの歯科医院,958-0834,村上市,新町15-15,0254-52-2880,平成21年4月24日,牧野　和彦,牧野　和彦,1,0,1,0,,38.22356,139.492279
12,渡辺歯科医院,958-0851,村上市,羽黒町11-15,0254-53-5099,平成20年8月1日,渡邉　賢一,渡邉　賢一,1,0,0,0,,38.216949,139.474274
13,お城山歯科クリニック,958-0834,村上市,新町9-86,0254-52-1111,平成21年6月23日,医療法人社団 佐藤クリニック,佐藤　哲,1,0,1,1,,38.223846,139.489548
14,前川歯科クリニック,959-3134,村上市,羽ｹ榎185,0254-62-2867,平成3年11月25日,前川　隆志,前川　隆志,1,1,1,0,,38.122448,139.450104
15,加藤歯科クリニック,959-3133,村上市,山口468-1,0254-50-5115,平成10年9月1日,加藤　英敏,加藤　英敏,1,1,1,0,,38.124027,139.442368
16,鈴木歯科医院,959-3111,村上市,長政253,0254-62-3040,平成18年7月18日,鈴木　英雄,鈴木　英雄,1,0,0,0,,38.10342,139.427338
17,藤原歯科診療所,959-3449,村上市,岩船駅前30-8,0254-56-6393,平成2年1月4日,藤原　喜栄門,藤原　喜栄門,1,1,1,1,,38.182468,139.456421
18,さくらい歯科クリニック,959-3443,村上市,北新保字正樹院屋敷571-55,0254-60-1230,平成28年10月1日,医療法人社団　さくらい歯科クリニック,櫻井　正憲,1,1,1,0,,38.168171,139.437149
19,あさひ歯科医院,958-0251,村上市,岩沢5564-1,0254-72-1313,平成16年1月1日,小田　正美,小田　正美,1,0,0,0,,38.266048,139.531906
20,エクセレント歯科クリニック村上医院,958-0261,村上市,猿沢2586-1,0254-72-6642,平成22年6月1日,佐藤　理江,佐藤　理江,1,1,1,1,,38.282295,139.520935
21,本図歯科医院,959-3907,村上市,府屋176-143,0254-77-2473,平成7年12月6日,本図　悟,本図　悟,1,0,0,0,,38.514324,139.533585
22,医療法人 徳真会 松村歯科　関川診療所,959-3265,関川村,大字下関字宮越1417-1,0254-64-1201,昭和61年12月1日,医療法人　徳真会,髙松　麗子,1,1,1,0,,38.083347,139.555481
23,おおしま歯科医院,958-0873,村上市,上片町3-30,0254-53-2417,令和2年1月1日,大島　賢,大島　賢,1,0,0,0,,38.228302,139.49118
24,関川ファミリー歯科 阿部医院,959-3265,関川村,大字下関891-1,0254-75-5841,令和4年12月15日,阿部　満,阿部　満,1,0,1,1,,38.083347,139.555481
25,あらかわ歯科クリニック,959-3132,村上市,坂町1569-2,0254-62-1717,令和7年8月6日,桐生　繁喜,桐生　繁喜,1,0,0,0,,38.114491,139.445465
26,赤松歯科医院,959-2334,新発田市,月岡温泉590,0254-32-3166,昭和59年5月1日,赤松　俊嗣,赤松　俊嗣,1,0,1,0,,37.881218,139.31073
27,阿部矯正歯科医院,957-0018,新発田市,緑町2-16-23,0254-24-0508,平成6年7月20日,阿部　裕子,阿部　裕子,0,1,0,0,,37.960625,139.333496
28,有田歯科医院,957-0056,新発田市,大栄町3-3-18,0254-23-5411,昭和60年9月17日,有田　美智子,有田　美智子,1,0,0,0,,37.944,139.323471
29,飯島歯科医院,957-0341,新発田市,下羽津2112-1,0254-25-3391,平成3年10月1日,飯島　のぞみ,飯島　のぞみ,1,0,0,0,,37.92717,139.392258
30,石井歯科クリニック,957-0016,新発田市,豊町4-5-3,0254-26-6298,平成6年9月10日,石井　史郎,石井　史郎,1,1,1,1,,37.940746,139.340591
31,石橋歯科医院,959-2453,新発田市,大字三日市473-3,0254-21-1484,平成7年10月16日,石橋　国幸,石橋　国幸,1,1,1,0,,37.964245,139.362595
32,稲富歯科医院,957-0051,新発田市,城北町3-8-2,0254-26-8008,平成4年4月8日,稲富　道知,稲富　道知,1,1,1,0,,37.962845,139.318604
33,うがむら歯科医院,957-0018,新発田市,緑町1-13-21-3,0254-22-2232,平成30年5月16日,羽田  亮子,羽田  亮子,1,0,1,0,,37.961033,139.330933
34,遠藤歯科クリニック,959-2311,新発田市,荒町甲1456-3,0254-24-0100,令和2年5月1日,医療法人社団　遠藤歯科クリニック,遠藤　雄,1,1,1,1,,37.931179,139.321411
35,大平歯科医院,957-0057,新発田市,御幸町2-4-6,0254-23-2117,平成元年8月1日,医療法人社団　大平歯科医院,大平　弘司,1,0,0,0,,37.947731,139.318115
36,おぐま歯科医院,957-0054,新発田市,本町2丁目8-17,0254-28-8834,平成28年4月20日,小熊　崇泰,小熊　崇泰,1,1,1,1,,37.950562,139.332642
37,片桐歯科医院,957-0067,新発田市,中曽根町3丁目13-4,0254-20-0648,平成27年3月16日,片桐　正央,片桐　正央,1,0,0,0,,37.961952,139.309219
38,片山歯科医院,957-0016,新発田市,豊町2-1-20,0254-22-1188,令和4年1月1日,片山　直人,片山　直人,1,1,1,0,,37.942169,139.335236
39,河内歯科医院,957-0204,新発田市,稲荷岡2068,0254-41-2016,平成27年7月1日,河内　康之,河内　康之,1,0,1,1,,38.016861,139.324432
40,北村歯科医院,959-2331,新発田市,下飯塚82,0254-23-5055,昭和62年5月11日,北村　伸,北村　伸,1,0,0,0,,37.913944,139.302368
41,木戸歯科医院,957-0065,新発田市,舟入町2-5-4,0254-23-8020,平成11年7月21日,木戸　寿明,木戸　寿明,1,0,1,0,,37.956562,139.308792
42,キフネ歯科医院,957-0061,新発田市,住吉町3-3-30,0254-23-5588,平成5年4月1日,貴船　亮英,貴船　亮英,1,0,1,0,,37.950867,139.308472
43,貴船歯科クリニック,957-0052,新発田市,大手町5-2-12,0254-26-5366,平成13年6月5日,貴舩　彩子,貴舩　彩子,1,1,1,0,,37.9548,139.327362
44,休日救急歯科診療所,957-0054,新発田市,本町1丁目16番14号,0254-23-8350,令和2年4月1日,下越福祉行政組合,山崎　太亮,1,0,0,0,,37.946014,139.336395
45,くまくら歯科医院,957-0056,新発田市,大栄町2-2-20,0254-26-8148,平成17年11月1日,医療法人　熊倉医院,熊倉　清志,1,0,0,0,,37.944485,139.326233
46,小宮歯科医院,957-0061,新発田市,住吉町4-2-20,0254-24-5959,平成4年11月2日,小宮　隆瑞,小宮　隆瑞,1,0,0,0,,37.947098,139.313477
47,斎藤歯科医院,957-0204,新発田市,稲荷岡2400-5,0254-41-2700,昭和60年7月1日,斎藤　宏之,斎藤　宏之,1,0,0,0,,38.013077,139.321014
48,齋藤デンタルクリニック,957-0015,新発田市,東新町4-8-18-7,0254-21-0031,令和2年10月1日,医療法人社団　健優会,齋藤　健,1,0,1,0,,37.947163,139.347839
49,佐藤歯科医院,959-2477,新発田市,下小中山1024,0254-33-2903,昭和60年7月3日,佐藤　武寛,佐藤　武寛,1,0,0,0,,38.018883,139.380829
50,佐藤歯科医院,957-0052,新発田市,大手町2-5-2,0254-22-2134,昭和62年9月3日,医療法人社団　佐藤歯科医院,佐藤　隆,1,0,1,0,,37.950878,139.321594
51,歯科小林クリニック,957-0007,新発田市,小舟町2-1-21,0254-24-0808,令和7年12月1日,医療法人社団小舟会,小林　千里,1,0,1,1,,37.968132,139.328262
52,白勢歯科医院,957-0055,新発田市,諏訪町1-4-9,0254-23-2130,昭和58年4月5日,白勢　信男,白勢　信男,1,0,0,0,,37.945965,139.331268
53,スズキ歯科医院,957-0018,新発田市,緑町2-4-12,0254-26-5506,昭和56年7月15日,鈴木　英彦,鈴木　英彦,1,0,0,0,,37.959805,139.337326
54,鈴木歯科医院,957-0053,新発田市,中央町4丁目11-15,0254-22-5505,平成28年6月15日,鈴木　正晴,鈴木　正晴,1,1,1,1,,37.952614,139.327667
55,田上歯科医院,957-0021,新発田市,五十公野5083-3,0254-22-8148,平成6年3月10日,田上　正幸,田上　正幸,1,0,1,0,,37.926281,139.355545
56,田崎歯科医院,959-2452,新発田市,上館甲701,0254-24-6880,昭和59年7月16日,田崎　卓,田崎　卓,1,1,1,0,,37.970776,139.377319
57,豊島歯科医院,957-0053,新発田市,中央町1-1-2,0254-22-2169,令和5年5月9日,豊島　絋一郎,豊島　絋一郎,1,1,1,1,,37.947083,139.330276
58,長島歯科医院,957-0053,新発田市,中央町1-3-6,0254-22-2282,平成7年4月1日,長島　節志,長島　節志,1,1,1,0,,37.947639,139.328537
59,西方歯科医院,957-0052,新発田市,大手町2-9-10,0254-22-2755,平成27年2月22日,西方　純一,西方　純一,1,0,0,0,,37.951309,139.319168
