ナンバー,施設名,所在地,緯度,経度
1,佐久間歯科医院,村上市岩船上町4-30,38.190235,139.437775
2,高原歯科医院,村上市塩町1-15,38.226555,139.477432
3,緑町歯科クリニック,村上市緑町4-2-73,38.21907,139.457352
4,中野歯科医院,村上市飯野3-10-11,38.220379,139.469803
5,いいの歯科医院,村上市飯野2-5-6,38.22147,139.47435
6,新町歯科医院,村上市新町2-46,38.225632,139.484314
7,丹田矯正歯科,村上市田端町10-8 清水屋ﾋﾞﾙ2階,38.220745,139.4655
8,ふじかわ歯科,村上市仲間町518-70,38.216835,139.485565
9,さとう歯科クリニック,村上市田端町8-10,38.219292,139.465057
10,いわふね歯科クリニック,村上市岩船上町1-16,38.192665,139.43779
11,まきの歯科医院,村上市新町15-15,38.22356,139.492279
12,渡辺歯科医院,村上市羽黒町11-15,38.216949,139.474274
13,お城山歯科クリニック,村上市新町9-86,38.223846,139.489548
14,前川歯科クリニック,村上市羽ｹ榎185,38.122448,139.450104
15,加藤歯科クリニック,村上市山口468-1,38.124027,139.442368
16,鈴木歯科医院,村上市長政253,38.10342,139.427338
17,藤原歯科診療所,村上市岩船駅前30-8,38.182468,139.456421
18,さくらい歯科クリニック,村上市北新保字正樹院屋敷571-55,38.168171,139.437149
19,あさひ歯科医院,村上市岩沢5564-1,38.266048,139.531906
20,エクセレント歯科クリニック村上医院,村上市猿沢2586-1,38.282295,139.520935
21,本図歯科医院,村上市府屋176-143,38.514324,139.533585
22,医療法人 徳真会 松村歯科関川診療所,関川村大字下関字宮越1417-1,38.083347,139.555481
23,おおしま歯科医院,村上市上片町3-30,38.228302,139.49118
24,関川ファミリー歯科 阿部医院,関川村大字下関891-1,38.083347,139.555481
25,あらかわ歯科クリニック,村上市坂町1569-2,38.114491,139.445465
26,赤松歯科医院,新発田市月岡温泉590,37.881218,139.31073
27,阿部矯正歯科医院,新発田市緑町2-16-23,37.960625,139.333496
28,有田歯科医院,新発田市大栄町3-3-18,37.944,139.323471
29,飯島歯科医院,新発田市下羽津2112-1,37.92717,139.392258
30,石井歯科クリニック,新発田市豊町4-5-3,37.940746,139.340591
31,石橋歯科医院,新発田市大字三日市473-3,37.964245,139.362595
32,稲富歯科医院,新発田市城北町3-8-2,37.962845,139.318604
33,うがむら歯科医院,新発田市緑町1-13-21-3,37.961033,139.330933
34,遠藤歯科クリニック,新発田市荒町甲1456-3,37.931179,139.321411
35,大平歯科医院,新発田市御幸町2-4-6,37.947731,139.318115
36,おぐま歯科医院,新発田市本町2丁目8-17,37.950562,139.332642
37,片桐歯科医院,新発田市中曽根町3丁目13-4,37.961952,139.309219
38,片山歯科医院,新発田市豊町2-1-20,37.942169,139.335236
39,河内歯科医院,新発田市稲荷岡2068,38.016861,139.324432
40,北村歯科医院,新発田市下飯塚82,37.913944,139.302368
41,木戸歯科医院,新発田市舟入町2-5-4,37.956562,139.308792
42,キフネ歯科医院,新発田市住吉町3-3-30,37.950867,139.308472
43,貴船歯科クリニック,新発田市大手町5-2-12,37.9548,139.327362
44,休日救急歯科診療所,新発田市本町1丁目16番14号,37.946014,139.336395
45,くまくら歯科医院,新発田市大栄町2-2-20,37.944485,139.326233
46,小宮歯科医院,新発田市住吉町4-2-20,37.947098,139.313477
47,斎藤歯科医院,新発田市稲荷岡2400-5,38.013077,139.321014
48,齋藤デンタルクリニック,新発田市東新町4-8-18-7,37.947163,139.347839
49,佐藤歯科医院,新発田市下小中山1024,38.018883,139.380829
50,佐藤歯科医院,新発田市大手町2-5-2,37.950878,139.321594
51,歯科小林クリニック,新発田市小舟町2-1-21,37.968132,139.328262
52,白勢歯科医院,新発田市諏訪町1-4-9,37.945965,139.331268
53,スズキ歯科医院,新発田市緑町2-4-12,37.959805,139.337326
54,鈴木歯科医院,新発田市中央町4丁目11-15,37.952614,139.327667
55,田上歯科医院,新発田市五十公野5083-3,37.926281,139.355545
56,田崎歯科医院,新発田市上館甲701,37.970776,139.377319
57,豊島歯科医院,新発田市中央町1-1-2,37.947083,139.330276
58,長島歯科医院,新発田市中央町1-3-6,37.947639,139.328537
59,西方歯科医院,新発田市大手町2-9-10,37.951309,139.319168
60,西方歯科診療所,新発田市大栄町3丁目1番16号,37.94334,139.325623
61,布村歯科医院,新発田市大栄町6-6-21,37.939445,139.324387
62,野田歯科医院,新発田市佐々木164,37.952335,139.263901
63,ハート歯科クリニック,新発田市中曽根町1-3-10,37.959957,139.31662
64,HARADA DENTAL CLINIC,新発田市豊町2丁目6番27号,37.940132,139.338135
65,星野歯科医院,新発田市住吉町4丁目19番2号,37.941498,139.311569
66,まるやま歯科医院,新発田市富塚町1-24-15,37.944611,139.303391
67,村山歯科医院,新発田市大栄町7-1-8,37.94627,139.327148
68,メディケア歯科クリニック,新発田市住吉町5丁目11番5号ｲｵﾝﾓｰﾙ新発田1階,37.941456,139.309586
69,柳川歯科医院,新発田市新富町1-5-10,37.954685,139.336807
70,山崎歯科医院,新発田市大手町2-2-2,37.951427,139.322556
71,山田歯科医院,新発田市中央町1-6-19,37.949715,139.328735
72,山城歯科医院,新発田市西園町3-1-33,37.95472,139.320465
73,いいじま歯科クリニック,新発田市新栄町2丁目2番3号,37.951328,139.299286
74,アイザワ歯科医院,阿賀野市北本町4-5,37.840878,139.227127
75,阿部歯科医院,阿賀野市外城町17-32,37.836201,139.234695
