No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,解説者,管理者,内科,呼吸器内科,循環器内科,消化器内科,腎臓内科,神経内科,糖尿病内科,血液内科,皮膚科,アレルギー科,リウマチ科,感染症内科,小児科,精神科,心療内科,外科,呼吸器外科,循環器外科,乳腺外科,気管食道外科,消化器外科,泌尿器科,肛門外科,脳神経外科,整形外科,形成外科,美容外科,眼科,耳鼻咽喉科,小児外科,産婦人科,産科,婦人科,リハビリテーション科,放射線科,麻酔科,病理診断科,臨床検査科,救急科,一般病床,療養病床,計,備考,歯科標榜,緯度,経度
1,本間医院,958-0846,村上市,安良町4-13,0254-53-3071,昭和61年12月1日,医療法人社団　本間医院,本間　宙,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.223648,139.475800
2,安斎医院,958-0051,村上市,岩船上町1-16,0254-56-7415,平成1年4月1日,医療法人社団　安斎医院,安斎　孝雄,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.192665,139.437790
3,富樫眼科医院,958-0857,村上市,飯野1-1-20,0254-53-0633,平成21年9月28日,医療法人社団　萌愛会,富樫　元,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.221596,139.476959
4,おたべ医院,958-0832,村上市,石原4-7,0254-53-5885,平成2年9月3日,小田邉　一紀,小田邉　一紀,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.226410,139.493561
5,医療法人社団  しぶや小児科医院,958-0834,村上市,新町6-83,0254-53-8787,平成29年9月19日,医療法人社団　しぶや小児科医院,澁谷　義弘,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.225117,139.485672
6,羽鳥医院,958-0032,村上市,松原町1-10-16,0254-52-3097,平成9年6月1日,医療法人社団　羽鳥医院,羽鳥　知樹,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.227188,139.459869
7,羽鳥医院瀬波診療所,958-0023,村上市,瀬波上町4-16,0254-52-3097,平成2年10月1日,医療法人社団　羽鳥医院,羽鳥　知樹,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.231647,139.456970
8,佐々木整形外科,958-0852,村上市,南町2-4-48,0254-50-1800,平成11年4月1日,医療法人社団　佐々木整形外科,佐々木　太郎,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,38.216530,139.471024
9,医療法人　たかはし整形外科クリニック,958-0834,村上市,新町9-82,0254-50-7000,平成22年9月1日,医療法人たかはし整形外科クリニック,高橋　敦,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,38.223671,139.490067
10,いが医院,958-0852,村上市,南町2-8-30,0254-50-7123,平成14年4月1日,医療法人社団　いが医院,伊賀　芳朗,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.216793,139.473618
11,瀬賀医院,958-0003,村上市,吉浦3060-8,0254-58-2220,平成17年7月29日,瀬賀　弘行,瀬賀　弘行,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.307816,139.452713
12,さくら内科クリニック,958-0823,村上市,仲間町233-1,0254-53-1113,平成18年7月13日,医療法人社団　三生会,佐藤　貞之,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.221916,139.492172
13,たなか皮ふ科クリニック,958-0834,村上市,新町9-90,0254-53-4112,平成23年4月25日,田中英一郎,田中英一郎,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.223988,139.489120
14,学校法人北都健勝学園新潟リハビリテーションクリニック,958-0053,村上市,上の山2-16,0254-56-8233,平成23年8月1日,学校法人　北都健勝学園,的場巳知子,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,38.185974,139.439468
15,おばた耳鼻科,958-0834,村上市,新町6-53,0254-62-7830,令和6年11月1日,医療法人社団　おばた耳鼻科,小幡　昌文,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,38.224064,139.488892
16,村上市休日急患診療所,958-0862,村上市,若葉町10-7,0254-75-8007,平成5年4月1日,村上市,伊賀　芳朗,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.227116,139.469238
17,障害者支援施設　浦田の里　診療所,958-0000,村上市,岩船浦田山231-1,0254-53-1803,昭和61年11月1日,社会福祉法人　村上岩船福祉会,野沢　悟,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.205414,139.445282
18,特別養護老人ホーム　いわくすの里　診療所,958-0053,村上市,上の山2-17,0254-50-2100,平成12年3月1日,社会福祉法人　村上岩船福祉会,安斎　孝雄,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.186043,139.439484
19,村上市巡回診療所,958-0837,村上市,三之町1-1,0254-75-8007,昭和54年8月1日,村上市,伊賀　芳朗,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.223087,139.480118
20,村上保健所,958-0864,村上市,肴町10-15,0254-53-3151,昭和53年4月27日,新潟県,園田　裕久,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.224964,139.469315
21,佐野医院,959-3132,村上市,坂町3262-7,0254-50-5170,平成14年9月1日,医療法人社団　弘陽会,佐野　克弘,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,38.113735,139.444885
22,荒川中央クリニック,959-3131,村上市,藤沢字前坪7-19,0254-50-5222,平成13年4月16日,医療法人社団　永和会,佐藤　一宣,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,38.120312,139.453476
23,特別養護老人ホーム　 たかつぼ　診療所,959-3100,村上市,下鍜冶屋572-7,0254-62-1455,平成5年4月1日,社会福祉法人　村上岩船福祉会,遠山　晃,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.113205,139.448380
24,特別養護老人ホーム　村上まごころの里　医務室,959-3122,村上市,大津3689-2,0254-62-1007,平成26年4月1日,社会福祉法人　真心福祉会,佐藤　一宣,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.128628,139.442001
25,鈴木医院,959-3414,村上市,有明848,0254-66-5307,平成8年2月21日,野沢　悟,野沢　悟,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.181953,139.478745
26,澤田医院,959-3443,村上市,北新保678,0254-66-7811,平成4年9月1日,医療法人社団　澤田医院,冨田　広,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.159782,139.430145
27,村上市養護老人ホーム　やまゆり荘　診療所,959-3404,村上市,山屋749-1,0254-66-5666,昭和60年8月5日,村上市,斎藤　良一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.205681,139.486252
28,障害者支援施設 やまやの里　診療所,959-3404,村上市,山屋746-2,0254-66-5945,平成2年4月1日,社会福祉法人　阿賀北福祉会,野沢　悟,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.209370,139.487701
29,特別養護老人ホーム　さつき園　診療所,959-3443,村上市,北新保683-9,0254-66-8877,平成11年6月9日,社会福祉法人　村上岩船福祉会,澤田　洋一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.174381,139.438141
30,佐藤医院,958-0261,村上市,猿沢2221,0254-60-2221,平成7年9月1日,医療法人社団　佐藤医院,佐藤　和女,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,○,38.282295,139.520935
31,つなしま内科クリニック,958-0062,村上市,大場沢3770-2,0254-72-0999,平成22年5月11日,綱島　勝正,綱島　勝正,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.244282,139.527115
32,特別養護老人ホーム　羽衣園　診療所,958-0251,村上市,岩沢1616,0254-72-0055,平成9年4月1日,社会福祉法人　村上岩船福祉会,伊賀　芳朗,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.261475,139.534531
33,特別養護老人ホーム　あさひ　診療所,958-0261,村上市,猿沢2160,0254-60-2225,平成25年8月1日,社会福祉法人　回生会,佐藤　和女,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.282295,139.520935
34,初野医院,959-3907,村上市,府屋279-5,0254-77-3070,平成18年5月15日,初野　謙,初野　謙,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.514324,139.533585
35,青木医院,959-3907,村上市,府屋604,0254-77-2003,平成1年4月1日,医療法人社団　青木医院,青木　和男,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.089443,139.565018
